physician_id,raters_group,completed_by,rater_name,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_listens_to_patients_and_their_families_concerns_and_responds_to_them_thoroughly,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_treats_patients_with_dignity_irrespective_of_their_religion_culture_age_race_sexual_orientation_gender_and_socio_economic_status,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_respects_patients_confidentiality_i_e_does_not_discuss_confidential_patient_information_in_areas_where_others_can_overhear_the_conversation_like_hallways_elevators_coffee_shops_etc,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_takes_time_to_explain_to_patients_their_medical_condition_treatment_options_methods_utilized_and_outcomes,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_treats_healthcare_workers_with_dignity_irrespective_of_their_religion_culture_age_race_sexual_orientation_and_gender,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_uses_respectful_language_with_other_healthcare_workers_i_e_avoids_abusive_language_offensive_comments_racial_or_ethnic_slurs_threats_of_violence_and_foul_or_rude_intimidating_language,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_responds_in_timely_fashion_to_phone_calls_and_paging_regarding_patient_care,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_arrives_on_time_to_scheduled_appointments_i_e_clinic_or_rounds_shift_etc,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_receptive_to_the_suggestions_and_concerns_of_other_healthcare_coworkers_both_physician_and_non_physician_health_providers,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_communicates_directly_and_clearly_with_healthcare_workers_both_physician_and_non_physician_health_providers_about_patient_care,comments,fillout_date
PHYS_81a7aa72e7dc,Medical Staff,PHYS_c8930df630c8,PHYS_ea8bbfbfef42,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/30/23 01:19 AM
PHYS_8f59f6be6839,Faculty Self-Evaluation,PHYS_8f59f6be6839,PHYS_8f59f6be6839,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,D/A,07/03/2023 09:14
PHYS_81a7aa72e7dc,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 07:40 AM
PHYS_ed3fe1ca099a,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,,,4.0,,4.0,4.0,3.0,2.0,1.0,2.0,D/A,07/25/23 09:46 AM
PHYS_dc16685e7615,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/25/23 09:46 AM
PHYS_75f2f98bdf72,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/25/23 09:46 AM
PHYS_7936c3398396,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 07:41 AM
PHYS_9559b23f8d4b,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/25/23 09:47 AM
PHYS_cb0a8cb3e016,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/25/23 09:47 AM
PHYS_de3a95430804,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/25/23 09:48 AM
PHYS_188031344e32,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,D/A,07/25/23 09:49 AM
PHYS_05d7d01a4662,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,D/A,07/25/23 09:50 AM
PHYS_9ae8114ad5ec,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/25/23 09:50 AM
