Subject ID,Raters Group,Completed by,Rater Name,"Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Listens to patients and their families’ concerns and responds to them thoroughly._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Treats patients with dignity irrespective of their religion, culture, age, race, sexual orientation, gender and socio-economic status._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Respects patients’ confidentiality (i.e. does not discuss confidential patient information in areas where others can overhear the conversation like hallways, elevators, coffee shops etc.)._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Takes time to explain to patients their medical condition, treatment options, methods utilized and outcomes._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Treats healthcare workers with dignity irrespective of their religion, culture, age, race, sexual orientation and gender. _First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Uses respectful language with other healthcare workers (i.e: avoids abusive language, offensive comments, racial or ethnic slurs, threats of violence and foul or rude intimidating language). _First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Responds in timely fashion to phone calls and paging regarding patient care. _First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Arrives on time to scheduled appointments (i.e. clinic, OR, rounds, shift etc…)._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Receptive to the suggestions and concerns of other healthcare coworkers (both physician and non-physician health providers)._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Communicates directly and clearly with healthcare workers (both physician and non-physician health providers) about patient care._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Manages patient flow efficiently._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Intervenes and assists in resolving conflicts._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Engages nurses at sign-out._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Leads codes effectively._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Readily available during shifts._First Scale",Q2_Comments,Fillout Date (mm/dd/yy)
PHYS_0292b434aeac,Medical Staff,PHYS_44c857f85793,PHYS_329611350c06,Always,Always,Always,Always,Always,Always,,Always,Always,Always,Always,Always,,Always,Always,professional and respectful,06/15/23 08:08 AM
PHYS_0292b434aeac,Medical Staff,PHYS_112ede692d28,PHYS_ecb5ba029ac7,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,Hardly ever,D/A,06/15/23 10:27 PM
PHYS_0292b434aeac,Hospital Staff,PHYS_470b345b9793,PHYS_ec28185e3964,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,Always,Always,Always,D/A,06/16/23 11:07 AM
PHYS_0292b434aeac,Medical Staff,PHYS_f1415f58b6e5,PHYS_ebfb7a033418,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,06/16/23 11:23 AM
PHYS_0292b434aeac,Faculty Self-Evaluation,PHYS_0292b434aeac,PHYS_7c2bbba9b1f2,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Most of the time,Always,Always,D/A,06/25/23 06:45 PM
PHYS_0292b434aeac,Hospital Staff,PHYS_6b78d2ca0b89,PHYS_24a2e505c50d,Most of the time,Most of the time,Always,Most of the time,Most of the time,Always,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,,Most of the time,D/A,06/26/23 11:59 AM
PHYS_0292b434aeac,Medical Staff,PHYS_9bf625149aa7,PHYS_2fa140f52d4c,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/10/2023 12:11
PHYS_0292b434aeac,Medical Staff,PHYS_6fc829554d4a,PHYS_ce1a05427eb8,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Most of the time,Sometimes,Sometimes,Sometimes,,Sometimes,D/A,07/17/23 05:35 PM
PHYS_0292b434aeac,Medical Staff,PHYS_58d064c749a6,PHYS_162bc917bbb5,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/17/23 07:22 PM
PHYS_0292b434aeac,Medical Staff,PHYS_daa3bb2b68ac,PHYS_f183aef9075a,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/17/23 07:38 PM
PHYS_0292b434aeac,Medical Staff,PHYS_e05aabbef33a,PHYS_483cb491161c,Most of the time,Always,Always,Most of the time,Always,Always,Most of the time,Always,Always,Always,Most of the time,Most of the time,,,Most of the time,D/A,08/01/2023 09:59
PHYS_0292b434aeac,Chairperson,PHYS_09dabef2e8ab,PHYS_aa159231d7a1,Most of the time,Always,Always,Most of the time,Always,Always,Most of the time,Always,Most of the time,Always,Hardly ever,Sometimes,Sometimes,,Most of the time,D/A,08/07/2023 19:27
PHYS_0292b434aeac,Hospital Staff,PHYS_017876cea86a,PHYS_28134b837d42,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,D/A,08/14/23 12:39 PM
PHYS_0292b434aeac,Hospital Staff,PHYS_ddab0059c861,PHYS_25db61880ead,,,,,,,,,,,,,,,,D/A,08/14/23 12:46 PM
PHYS_0292b434aeac,Hospital Staff,PHYS_853cf7d87df7,PHYS_4e5c00a0b5be,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Most of the time,Most of the time,Sometimes,Always,Always,D/A,08/14/23 01:22 PM
PHYS_0292b434aeac,Hospital Staff,PHYS_d2f829be99cb,PHYS_aab7bac26b9c,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,Always,Most of the time,Most of the time,Always,Most of the time,Most of the time,D/A,08/15/23 11:41 PM
PHYS_2a2d2e824a25,Medical Staff,PHYS_44c857f85793,PHYS_329611350c06,Always,Always,Always,Always,Always,Always,,Always,Always,Always,Always,Always,,Always,Always,professional and respctful and ready available for help,06/15/23 08:09 AM
PHYS_2a2d2e824a25,Hospital Staff,PHYS_e8b03496ad47,PHYS_ded25002218d,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/15/23 08:30 AM
PHYS_2a2d2e824a25,Medical Staff,PHYS_499545c37448,PHYS_186153d7f1d9,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,Always,Always,,,Sometimes,D/A,06/15/23 05:36 PM
PHYS_2a2d2e824a25,Medical Staff,PHYS_f1415f58b6e5,PHYS_ebfb7a033418,Always,Most of the time,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,,Always,Always,D/A,06/16/23 10:27 AM
PHYS_2a2d2e824a25,Hospital Staff,PHYS_470b345b9793,PHYS_ec28185e3964,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/16/23 11:08 AM
PHYS_2a2d2e824a25,Hospital Staff,PHYS_dd836eabde0f,PHYS_de4af254540f,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/25/23 09:35 AM
PHYS_2a2d2e824a25,Hospital Staff,PHYS_4e0e4e8c7b9e,PHYS_4e50937d05b5,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/26/23 02:53 AM
