Aubnetid,FiscalCycle,Physician Name,Department,ClinicVisits,ClinicWaitingTime,PatientComplaints,ContractEffectiveDate,complaints_outlier_high,top10_complaints
PHYS_8f59f6be6839,Cycle 2024-2025,PHYS_8f59f6be6839,Maternal-Fetal Medicine,270.0,27.78,,2011-07-01,False,False
PHYS_0f7dbc32ada3,Cycle 2024-2025,PHYS_0f7dbc32ada3,Endocrinology,1582.0,96.76,,2011-07-01,False,False
PHYS_18d9d60a1ec8,Cycle 2024-2025,PHYS_18d9d60a1ec8,Neurosurgery,429.0,83.18,,2023-10-17,False,False
PHYS_d96d1fbcd51c,Cycle 2024-2025,PHYS_d96d1fbcd51c,Infectious Diseases,644.0,59.66,1.0,2011-07-01,False,False
PHYS_0f6500b55151,Cycle 2024-2025,PHYS_0f6500b55151,Neurology,1157.0,53.28,,2011-07-01,False,False
PHYS_85c37beeac3a,Cycle 2024-2025,PHYS_85c37beeac3a,Pediatric Ophthalmology & Motility,3576.0,38.02,,2017-09-13,False,False
PHYS_5a42763cd787,Cycle 2024-2025,PHYS_5a42763cd787,Nephrology,1407.0,45.45,1.0,2011-07-01,False,False
PHYS_088c3a358426,Cycle 2024-2025,PHYS_088c3a358426,Urology,3505.0,62.06,5.0,2013-07-09,True,True
PHYS_d920f5a00584,Cycle 2024-2025,PHYS_d920f5a00584,Dermatology,1453.0,33.95,,2011-07-01,False,False
PHYS_8061021ecd7b,Cycle 2024-2025,PHYS_8061021ecd7b,Orthodontics,370.0,,,2015-01-13,False,False
PHYS_bc751199ad00,Cycle 2024-2025,PHYS_bc751199ad00,Pulmonary and Critical Care,2026.0,18.32,,2011-07-01,False,False
PHYS_a1dcdacf9fcc,Cycle 2024-2025,PHYS_a1dcdacf9fcc,Otorhinolaryngology - Head and Neck Surgery,817.0,58.27,,2011-07-01,False,False
PHYS_92df458d73ce,Cycle 2024-2025,PHYS_92df458d73ce,Reproductive Endocrinology and Infertility,1459.0,24.97,,2011-07-01,False,False
PHYS_e5e9dae8fdb9,Cycle 2024-2025,PHYS_e5e9dae8fdb9,Plastic Surgery,2579.0,35.39,1.0,2014-08-26,False,False
PHYS_2a2d2e824a25,Cycle 2024-2025,PHYS_2a2d2e824a25,Pediatric Critical Care,438.0,58.76,,2014-07-08,False,False
PHYS_c01b77b1fef3,Cycle 2024-2025,PHYS_c01b77b1fef3,Obstetrics and Gynecology,,,1.0,2011-07-01,False,False
PHYS_23630ec6bd44,Cycle 2024-2025,PHYS_23630ec6bd44,Orthodontics,3227.0,95.44,,2011-07-01,False,False
PHYS_b7c50165ca33,Cycle 2024-2025,PHYS_b7c50165ca33,Maternal-Fetal Medicine,2758.0,24.63,1.0,2011-07-01,False,False
PHYS_bd9d261c765d,Cycle 2024-2025,PHYS_bd9d261c765d,Cardiology,4647.0,19.59,,2011-07-01,False,False
PHYS_749615a95136,Cycle 2024-2025,PHYS_749615a95136,Hematology-Oncology,1780.0,75.95,,2011-07-01,False,False
PHYS_86b3510033de,Cycle 2024-2025,PHYS_86b3510033de,Gastroenterology,1191.0,27.74,1.0,2011-07-01,False,False
PHYS_796363ed88b6,Cycle 2024-2025,PHYS_796363ed88b6,Gastroenterology,897.0,34.52,2.0,2011-07-01,False,False
PHYS_12590e0e5875,Cycle 2024-2025,PHYS_12590e0e5875,Orthopaedic Surgery,4806.0,9.58,1.0,2011-07-01,False,False
PHYS_17b1b91e9add,Cycle 2024-2025,PHYS_17b1b91e9add,Hematology-Oncology,1872.0,33.1,1.0,2011-07-01,False,False
PHYS_4bf042862ce8,Cycle 2024-2025,PHYS_4bf042862ce8,Hematology-Oncology,789.0,36.62,1.0,2011-07-01,False,False
PHYS_c1199ce2ddd8,Cycle 2024-2025,PHYS_c1199ce2ddd8,Pediatric Surgery Service,46.0,21.61,,2017-08-09,False,False
PHYS_85a5920c4590,Cycle 2024-2025,PHYS_85a5920c4590,Infectious Diseases,416.0,50.71,,2014-04-11,False,False
PHYS_645df9a1917f,Cycle 2024-2025,PHYS_645df9a1917f,Cardiology,1515.0,30.31,,2011-07-26,False,False
PHYS_a54560881f80,Cycle 2024-2025,PHYS_a54560881f80,Hematology-Oncology,2000.0,50.64,2.0,2012-07-01,False,False
PHYS_e99cfcaa6789,Cycle 2024-2025,PHYS_e99cfcaa6789,Urology,1737.0,42.33,,2016-01-14,False,False
PHYS_2ab54f384310,Cycle 2024-2025,PHYS_2ab54f384310,Family Medicine,1368.0,27.22,,2011-07-01,False,False
PHYS_81a7aa72e7dc,Cycle 2024-2025,PHYS_81a7aa72e7dc,Psychiatry,381.0,72.91,,2011-07-01,False,False
PHYS_7aa4bfb13ec8,Cycle 2024-2025,PHYS_7aa4bfb13ec8,Ophthalmology,4672.0,20.21,,2011-07-01,False,False
PHYS_9facd75e78af,Cycle 2024-2025,PHYS_9facd75e78af,Family Medicine,1136.0,22.93,,2011-07-01,False,False
PHYS_eb066433ad96,Cycle 2024-2025,PHYS_eb066433ad96,Orthopaedic Surgery,1413.0,21.67,1.0,2011-07-01,False,False
PHYS_fa6a74aacd93,Cycle 2024-2025,PHYS_fa6a74aacd93,Nephrology and Hypertension,24.0,25.33,,2015-07-20,False,False
PHYS_b9976f810e5d,Cycle 2024-2025,PHYS_b9976f810e5d,Radiation Oncology,1378.0,39.88,,2012-07-17,False,False
PHYS_7e2b1beb5fa0,Cycle 2024-2025,PHYS_7e2b1beb5fa0,Pediatric Ophthalmology & Motility,2422.0,32.83,,2011-07-01,False,False
PHYS_a039d9fc7752,Cycle 2024-2025,PHYS_a039d9fc7752,Pediatric Endocrinology,730.0,48.04,1.0,2024-06-11,False,False
PHYS_cb68dae93506,Cycle 2024-2025,PHYS_cb68dae93506,Dentofacial Medicine,586.0,75.4,,2021-12-21,False,False
PHYS_ea6d64e1b42f,Cycle 2024-2025,PHYS_ea6d64e1b42f,Plastic Surgery,203.0,67.89,,2023-09-12,False,False
PHYS_890d65abe662,Cycle 2024-2025,PHYS_890d65abe662,Family Medicine,445.0,24.04,,2018-01-12,False,False
PHYS_ed3fe1ca099a,Cycle 2024-2025,PHYS_ed3fe1ca099a,Psychiatry,863.0,64.3,,2020-01-21,False,False
PHYS_386184a463dd,Cycle 2024-2025,PHYS_386184a463dd,Obstetrics and Gynecology,2970.0,38.75,,2014-08-26,False,False
PHYS_14f9b9c484ab,Cycle 2024-2025,PHYS_14f9b9c484ab,Cardiology,783.0,24.31,,2011-07-01,False,False
PHYS_d2d3093fa489,Cycle 2024-2025,PHYS_d2d3093fa489,Pediatric Neurology,293.0,18.38,,2023-08-08,False,False
PHYS_05378cdaf36f,Cycle 2024-2025,PHYS_05378cdaf36f,Pulmonary and Critical Care,739.0,13.22,,2011-07-01,False,False
PHYS_2a818d4619d8,Cycle 2024-2025,PHYS_2a818d4619d8,Pediatric Hematology-Oncology,620.0,240.26,,2018-09-19,False,False
PHYS_c29a281f814e,Cycle 2024-2025,PHYS_c29a281f814e,Pediatrics and Adolescent Medicine,,18.58,,2015-03-05,False,False
PHYS_e35a3c84c2fe,Cycle 2024-2025,PHYS_e35a3c84c2fe,Pediatrics and Adolescent Medicine,,41.01,,2011-07-01,False,False
PHYS_57b12d3fa561,Cycle 2024-2025,PHYS_57b12d3fa561,Family Medicine,685.0,35.48,,2011-07-01,False,False
PHYS_b54000757d05,Cycle 2024-2025,PHYS_b54000757d05,Dermatology,1232.0,55.63,,2018-10-01,False,False
PHYS_4ee2261d072c,Cycle 2024-2025,PHYS_4ee2261d072c,Otorhinolaryngology - Head and Neck Surgery,2374.0,9.03,,2020-01-14,False,False
PHYS_dc16685e7615,Cycle 2024-2025,PHYS_dc16685e7615,Psychiatry,798.0,37.74,,2022-09-20,False,False
PHYS_eae50c46a2b2,Cycle 2024-2025,PHYS_eae50c46a2b2,Pediatric Hematology-Oncology,587.0,153.84,,2021-12-21,False,False
PHYS_75f2f98bdf72,Cycle 2024-2025,PHYS_75f2f98bdf72,Psychiatry,889.0,35.26,,2019-09-01,False,False
PHYS_275b50e0b410,Cycle 2024-2025,PHYS_275b50e0b410,Obstetrics and Gynecology,973.0,26.7,,2014-01-14,False,False
PHYS_747c833974d5,Cycle 2024-2025,PHYS_747c833974d5,General Surgery,398.0,43.16,3.0,2014-07-08,False,True
PHYS_d7f2fcf5aab1,Cycle 2024-2025,PHYS_d7f2fcf5aab1,General Surgery,141.0,61.18,,2011-07-01,False,False
